Time   Error  Velocity
   0,   500,   0.000
  50,   500,   0.000
 100,   489,  -458.000
 150,   469,  -411.000
 200,   446,  -430.000
 250,   418,  -663.000
 300,   388,  -575.000
 350,   355,  -716.000
 400,   321,  -661.000
 450,   286,  -720.000
 500,   251,  -688.000
 550,   215,  -746.000
 600,   178,  -745.000
 650,   139,  -811.000
 700,   102,  -668.000
 750,    64,  -825.000
 800,    27,  -691.000
 850,    -8,  -678.000
 900,   -37,  -478.000
 950,   -51,  -45.000
1000,   -54,  -41.000
1050,   -53,  -1.000
1100,   -52,   8.000
1150,   -47,  206.000
1200,   -41,  75.000
1250,   -35,  123.000
1300,   -29,  125.000
1350,   -24,  78.000
1400,   -21,  33.000
1450,   -18,  88.000
1500,   -17,  -33.000
1550,   -15,  95.000
1600,   -14,  -28.000
1650,   -14,   0.000
1700,   -14,  11.000
1750,   -14,  -5.000
1800,   -14,   0.000
1850,   -14,   0.000
Time   Error  Velocity
   0,   486,  -583.000
  50,   485,  495.000
 100,   472,  -806.000
 150,   452,  -286.000
 200,   430,  -426.000
 250,   402,  -691.000
 300,   371,  -595.000
 350,   339,  -641.000
 400,   306,  -680.000
 450,   271,  -731.000
 500,   234,  -755.000
 550,   198,  -675.000
 600,   161,  -788.000
 650,   124,  -718.000
 700,    86,  -786.000
 750,    48,  -743.000
 800,    11,  -723.000
 850,   -21,  -548.000
 900,   -50,  -593.000
 950,   -66,  -63.000
1000,   -69,  20.000
1050,   -69,  -86.000
1100,   -63,  265.000
1150,   -56,  76.000
1200,   -47,  236.000
1250,   -37,  193.000
1300,   -28,  151.000
1350,   -20,  160.000
1400,   -12,  171.000
1450,    -5,  113.000
1500,     1,  115.000
1550,     5,  48.000
1600,     8,  66.000
1650,     8,  -58.000
1700,     8,  45.000
1750,     7,  -56.000
1800,     7,  38.000
1850,     6,  -63.000
1900,     6,  43.000
1950,     6,  -21.000
2000,     6,   5.000
2050,     6,   0.000
2100,     6,   0.000
2150,     6,   0.000
2200,     6,   0.000
Time   Error  Velocity
   0,   500,   0.000
  50,   500,   0.000
 100,   494,  -250.000
Time   Error  Velocity
   0,   500,   0.000
  50,   500,   0.000
 100,   490,  -416.000
 150,   471,  -408.000
 200,   448,  -446.000
 250,   422,  -563.000
 300,   393,  -615.000
 350,   361,  -670.000
 400,   328,  -646.000
 450,   293,  -741.000
 500,   257,  -713.000
 550,   221,  -713.000
 600,   183,  -808.000
 650,   146,  -685.000
 700,   108,  -808.000
 750,    71,  -696.000
 800,    33,  -803.000
 850,    -2,  -613.000
 900,   -32,  -546.000
 950,   -46,  -1.000
1000,   -49,  -63.000
1050,   -49,  -38.000
1100,   -48,  46.000
1150,   -43,  185.000
1200,   -37,  80.000
1250,   -31,  123.000
1300,   -26,  83.000
1350,   -21,  116.000
1400,   -17,  53.000
1450,   -14,  55.000
1500,   -12,  30.000
1550,   -11,  10.000
1600,   -10,  31.000
1650,   -10,  -26.000
1700,   -10,  16.000
1750,   -10,  -5.000
1800,   -10,   0.000
1850,   -10,   0.000
1900,   -10,   0.000
Time   Error  Velocity
   0,   490,  -416.000
  50,   490,  383.000
 100,   479,  -675.000
 150,   459,  -361.000
 200,   435,  -471.000
 250,   408,  -583.000
 300,   377,  -676.000
 350,   344,  -651.000
 400,   310,  -688.000
 450,   275,  -715.000
 500,   239,  -730.000
 550,   202,  -750.000
 600,   164,  -770.000
 650,   126,  -748.000
 700,    90,  -681.000
 750,    52,  -836.000
 800,    16,  -633.000
 850,   -17,  -638.000
 900,   -45,  -491.000
 950,   -57,  38.000
1000,   -59,  -65.000
1050,   -58,  -1.000
1100,   -53,  186.000
1150,   -48,  48.000
1200,   -42,  161.000
1250,   -36,  103.000
1300,   -30,  125.000
1350,   -25,  78.000
1400,   -21,  75.000
1450,   -18,  50.000
1500,   -16,  30.000
1550,   -16,  -31.000
1600,   -15,  70.000
1650,   -15,  -48.000
1700,   -15,  21.000
1750,   -15,  -5.000
1800,   -15,   0.000
1850,   -15,   0.000
1900,   -15,   0.000
1950,   -15,   0.000
Time   Error  Velocity
   0,   485,  -625.000
  50,   485,  575.000
 100,   477,  -658.000
 150,   458,  -410.000
 200,   436,  -361.000
 250,   410,  -611.000
 300,   381,  -593.000
 350,   348,  -716.000
 400,   313,  -691.000
 450,   276,  -770.000
 500,   240,  -675.000
 550,   202,  -830.000
 600,   164,  -721.000
 650,   126,  -770.000
 700,    88,  -760.000
 750,    48,  -843.000
 800,    11,  -641.000
 850,   -25,  -758.000
 900,   -56,  -513.000
 950,   -72,  -73.000
1000,   -74,  38.000
1050,   -72,  -31.000
1100,   -65,  251.000
1150,   -56,  160.000
1200,   -46,  213.000
1250,   -36,  193.000
1300,   -27,  163.000
1350,   -18,  196.000
1400,   -11,  91.000
1450,    -5,  131.000
1500,     1,  126.000
1550,     4,  -10.000
1600,     5,  26.000
1650,     5,  -3.000
1700,     4,  -35.000
1750,     3,  -8.000
1800,     2,  -25.000
1850,     1,  -20.000
1900,     1,  21.000
1950,     1,  -16.000
2000,     1,   5.000
2050,     1,   0.000
2100,     1,   0.000
2150,     1,   0.000
